,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.013733009,0.654163697,0.069392824,0.750583847,7.399744049,4.174773654,4.108367183,,0.007505838,0.07399744,0.041747737
WALL,0.015064615,0.65365453,0.06953112,0.82336334,7.393984472,4.183093744,4.133480519,,0.008233633,0.073939845,0.041830937
FLOOR,0.004471676,0.654830358,0.069120338,0.244401462,7.407285159,4.158380527,3.93668905,,0.002444015,0.074072852,0.041583805
WIN,0.007622249,0.652270043,0.069426811,0.416597497,7.378323491,4.176818363,3.990579784,,0.004165975,0.073783235,0.041768184
SHGC,0.0353644,0.658988732,0.070085851,1.932857337,7.454323695,4.216467192,4.534549408,,0.019328573,0.074543237,0.042164672
LPD,0.097058869,0.655341978,0.080369045,5.304796522,7.413072486,4.835119167,5.850996058,,0.053047965,0.074130725,0.048351192
HEATEFF,0.009821057,0.653579001,0.069229673,0.53677434,7.393130105,4.164958289,4.031620911,,0.005367743,0.073931301,0.041649583
COP,0.060169533,0.663674333,0.07308431,3.28859314,7.507326101,4.396858859,5.064259367,,0.032885931,0.075073261,0.043968589
EPD,0.883059487,1.421180764,0.579640793,48.26401673,16.07605856,34.87203699,33.0707041,,0.482640167,0.160760586,0.34872037
HSP,0.15572926,0.610319263,0.098268272,8.511453312,6.903786248,5.911962813,7.109067458,,0.085114533,0.069037862,0.059119628
CSP,0.530914932,0.907868389,0.345109155,29.01739639,10.26959114,20.76227097,20.0164195,,0.290173964,0.102695911,0.20762271
OCC,0.016634499,0.654484641,0.068935484,0.909166077,7.40337449,4.147259431,4.153266666,,0.009091661,0.074033745,0.041472594
