,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.003344738,0.713596355,0.069933588,0.195811222,7.529293225,4.176494694,3.967199714,,0.001958112,0.075292932,0.041764947
WALL,0.006278143,0.713421112,0.07017017,0.367541718,7.527444208,4.190623582,4.028536502,,0.003675417,0.075274442,0.041906236
FLOOR,0.010889274,0.713948573,0.069815884,0.637491467,7.533009545,4.169465322,4.113322112,,0.006374915,0.075330095,0.041694653
WIN,0.002457661,0.713546271,0.069956436,0.143879032,7.528764786,4.177859182,3.950167667,,0.00143879,0.075287648,0.041778592
SHGC,0.025856792,0.71387415,0.070278753,1.513735852,7.532224293,4.197108216,4.41435612,,0.015137359,0.075322243,0.041971082
LPD,0.080711472,0.711642778,0.079570012,4.725096998,7.508680663,4.751990286,5.661922649,,0.04725097,0.075086807,0.047519903
HEATEFF,0.018415171,0.713339595,0.06984899,1.07808055,7.526584103,4.171442424,4.258702359,,0.010780806,0.075265841,0.041714424
COP,0.042278416,0.719489509,0.073611821,2.475108072,7.591473036,4.39616196,4.820914356,,0.024751081,0.07591473,0.04396162
EPD,0.902351294,1.458732928,0.656620972,52.82641094,15.3913734,39.21397542,35.81058659,,0.528264109,0.153913734,0.392139754
HSP,0.139341375,0.668832905,0.094488571,8.157471272,7.056985407,5.642939618,6.952465433,,0.081574713,0.070569854,0.056429396
CSP,0.459595186,0.922813283,0.280752819,26.90611107,9.736781515,16.76680247,17.80323169,,0.269061111,0.097367815,0.167668025
OCC,0.016624715,0.714363338,0.069408514,0.973261801,7.537385815,4.145136831,4.218594816,,0.009732618,0.075373858,0.041451368
