,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,2.19E-05,0.702577694,0.069904239,0.001245282,7.517643384,4.157664249,3.892184305,,1.24528E-05,0.075176434,0.041576642
WALL,0.009737425,0.702303437,0.070189916,0.552439219,7.514708803,4.174655333,4.080601118,,0.005524392,0.075147088,0.041746553
FLOOR,0.010504362,0.703151536,0.069838631,0.595950305,7.523783541,4.153762143,4.091165329,,0.005959503,0.075237835,0.041537621
WIN,0.004316832,0.702484941,0.069904837,0.244909444,7.516650918,4.157699792,3.973086718,,0.002449094,0.075166509,0.041576998
SHGC,0.034510736,0.703436417,0.070218704,1.957918394,7.526831797,4.176367548,4.553705913,,0.019579184,0.075268318,0.041763675
LPD,0.132856246,0.707061591,0.079191005,7.537413431,7.565621473,4.710009232,6.604348045,,0.075374134,0.075656215,0.047100092
HEATEFF,0.027876399,0.70244939,0.06994704,1.581528549,7.516270518,4.160209904,4.419336324,,0.015815285,0.075162705,0.041602099
COP,0.074596503,0.716502462,0.072553526,4.232128304,7.666639633,4.315234756,5.404667564,,0.042321283,0.076666396,0.043152348
EPD,0.906722125,1.453231636,0.671768188,51.44161233,15.54970686,39.95446659,35.64859526,,0.514416123,0.155497069,0.399544666
HSP,0.122396715,0.665573079,0.095557167,6.944006541,7.121690731,5.683412357,6.583036543,,0.069440065,0.071216907,0.056834124
CSP,0.421093966,0.883451165,0.272505593,23.89017754,9.453005494,16.20769752,16.51696018,,0.238901775,0.094530055,0.162076975
OCC,0.017990585,0.703493898,0.069755547,1.020670664,7.527446843,4.148820575,4.232312694,,0.010206707,0.075274468,0.041488206
