,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.015645074,0.65083447,0.066114146,0.798672313,7.403282095,4.061619457,4.087857955,,0.007986723,0.074032821,0.040616195
WALL,0.02568828,0.650677488,0.066041341,1.311372378,7.401496415,4.057146822,4.256671872,,0.013113724,0.074014964,0.040571468
FLOOR,0.002238586,0.651533901,0.066356515,0.114278586,7.411238162,4.076509004,3.867341917,,0.001142786,0.074112382,0.04076509
WIN,0.015365454,0.64865185,0.065958934,0.784397864,7.378454664,4.052084276,4.071645601,,0.007843979,0.073784547,0.040520843
SHGC,0.058123661,0.658736546,0.067274928,2.967180446,7.49316869,4.132930259,4.864426465,,0.029671804,0.074931687,0.041329303
LPD,0.177816637,0.669575224,0.080930213,9.077440103,7.616459327,4.9718214,7.221906943,,0.090774401,0.076164593,0.049718214
HEATEFF,0.017473729,0.650870208,0.066527413,0.892024107,7.403688619,4.08700789,4.127573538,,0.008920241,0.074036886,0.040870079
COP,0.095219902,0.674074327,0.070292451,4.860922889,7.667636893,4.31830712,5.615622301,,0.048609229,0.076676369,0.043183071
EPD,0.864267234,1.375903859,0.555486986,44.12036012,15.65099095,34.1254767,31.29894259,,0.441203601,0.15650991,0.341254767
HSP,0.141378636,0.610311677,0.095524447,7.217300498,6.942332831,5.868395422,6.676009584,,0.072173005,0.069423328,0.058683954
CSP,0.524466581,0.898655717,0.360522664,26.77372637,10.22226401,22.14814765,19.71471268,,0.267737264,0.10222264,0.221481476
OCC,0.021201492,0.651336027,0.066747914,1.082324328,7.408987336,4.100554004,4.197288556,,0.010823243,0.074089873,0.04100554
