,SRRC,SOBOL,TGP,SVI_SRRC,SVI_SOBOL,SVI_TGP,SVI_TOTAL,,,,
ROOF,0.000203682,0.704684264,0.065433045,0.011595205,7.521341891,3.963378469,3.832105188,,0.000115952,0.075213419,0.039633785
WALL,0.009306952,0.704400634,0.065870179,0.529827124,7.518314605,3.989856325,4.012666018,,0.005298271,0.075183146,0.039898563
FLOOR,0.01109094,0.705250374,0.065387238,0.631386179,7.527384178,3.960603869,4.039791409,,0.006313862,0.075273842,0.039606039
WIN,0.015771819,0.703973433,0.065863003,0.897859704,7.513754936,3.989421682,4.133678774,,0.008978597,0.075137549,0.039894217
SHGC,0.03266914,0.705357549,0.066191323,1.859792144,7.528528094,4.009308516,4.465876251,,0.018597921,0.075285281,0.040093085
LPD,0.128807801,0.708432221,0.076251341,7.332783552,7.56134514,4.618659051,6.504262581,,0.073327836,0.075613451,0.046186591
HEATEFF,0.02738948,0.704588644,0.065932551,1.559231102,7.520321299,3.993634339,4.357728913,,0.015592311,0.075203213,0.039936343
COP,0.073732983,0.718327118,0.069675491,4.197478761,7.666956847,4.220349822,5.361595143,,0.041974788,0.076669568,0.042203498
EPD,0.910955679,1.463270872,0.684513703,51.85897732,15.61800236,41.4620301,36.31300326,,0.518589773,0.156180024,0.414620301
HSP,0.118961926,0.669544725,0.092158506,6.772276611,7.14628528,5.582180051,6.500247314,,0.067722766,0.071462853,0.055821801
CSP,0.409869001,0.875748529,0.267915573,23.33306407,9.347170685,16.22805138,16.30276204,,0.233330641,0.093471707,0.162280514
OCC,0.017842299,0.705551171,0.065749166,1.015728234,7.530594685,3.982526395,4.176283105,,0.010157282,0.075305947,0.039825264
