1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,12M
9395.434977,5775.5529559999995,3764.3497839999995,2322.7020469999998,2133.428329,6508.168187,10563.321713,13828.698191000001,3127.0347269999997,2392.79092,4306.932868,8165.572004
9227.726143,5729.6450239999995,3781.14848,2405.79854,2256.240925,6693.391156000001,10700.802463,14131.961624000001,3376.8983569999996,2480.1122609999998,4264.301321999999,8042.301186000001
1939.205728,1223.4320149999999,811.098962,480.61763299999996,371.010304,1121.899113,1858.017501,2420.561041,487.90657099999993,471.57779700000003,909.090496,1686.824247
7595.4574,4894.781524,3234.318641,2031.620225,1723.095068,4765.532236,8109.954458,10447.921955000002,2382.015264,2003.7714460000002,3480.938391,6492.053139
3376.2752429999996,2070.207715,1362.698835,879.517198,880.596021,2543.313556,3685.4545,5532.812167,1279.30922,866.3516979999999,1559.243565,2964.1623550000004
335.841588,222.775937,157.73578199999997,97.358128,69.415249,137.988214,223.39376199999998,284.435514,62.422973999999996,87.00715199999998,170.328689,297.88878845622
3324.4070279999996,2073.824633,1351.214469,806.973727,634.916265,1915.489805,3229.134796,4205.464852,848.353126,803.5837819999999,1523.5010140000002,2839.7688020000005
534.0666560000001,349.381583,248.074272,152.71008399999997,124.560924,247.72350600000001,398.058465,513.950258,119.84126900000001,143.11534999999998,269.65171399999997,470.642662
3616.993134,2295.744737,1455.21254,860.996363,792.3587419999999,2219.224041,3465.3464769999996,5044.258933,1111.9605780000002,831.9187919999999,1677.1884570000002,3139.578218
405.832061,269.947829,187.37789299999997,113.577713,71.411027,178.37591900000004,302.08361999999994,395.239079,83.05558,102.58745300000001,199.665289,354.75638100000003
4175.325154,2751.0290090000003,1798.900983,1041.846076,781.3891409999999,2250.1051589999997,3828.719829,4914.94604,942.3469279999999,1005.506281,1957.137499,3510.6455750000005
961.270365,631.376272,439.627811,272.150086,178.07817500000002,471.40101000000004,806.740565,1055.168557,199.508757,250.399529,462.78283000000005,831.0333160000001
1122.115013,751.1404699999999,511.540642,306.048988,238.708384,583.413195,928.8434059999998,1187.2289680000004,272.645678,286.69058700000005,557.869697,980.8700829999999
4401.574479,2958.314827,2022.3671180000001,1222.379969,899.2000999999999,2520.609677,4160.843691,5374.988171999999,1031.194305,1168.7134660000002,2093.602939,3723.254068
947.539717,646.9701660000001,450.837318,272.55817,167.026041,418.38253399999996,726.475163,933.715538,176.443267,233.920212,461.032361,815.190919
4589.985305,3002.5381260000004,2143.670221,1401.12232,990.6663669999999,2791.597071,4787.441946000001,6324.471832,1172.748037,1403.688999,2165.9607210000004,3902.398075
1177.102949,778.247323,537.851661,334.80586,210.870651,552.712581,919.7206149999998,1182.9163640000002,211.398757,300.674508,569.897747,1024.239274
4037.599743,2621.693093,1904.983963,1294.184013,929.0338449999999,2505.0873250000004,4524.073615,6099.3895250000005,1159.537123,1379.2210029999999,1900.4275679999998,3431.2090550000003
1350.9412459999999,876.150706,602.609904,383.17443499999996,276.25070200000005,746.41266,1235.477337,1632.535962,386.160496,359.075777,643.233683,1176.5230080000001
4881.899889,3173.6690100000005,2245.9248529999995,1488.989596,1051.730754,3040.52907,5288.906539,7022.395389,1548.980572,1540.473276,2312.3161190000005,4221.206475
1210.5653149999998,780.748423,537.729328,341.443218,246.32596800000002,688.8104139999999,1179.5224719999999,1556.440549,355.243102,337.847475,570.002743,1041.0513130000002
7984.145609,5375.61658,3484.521030000001,1960.8947620000001,1418.727987,3984.532357,6989.368586,8805.67275,1740.9047789999997,1811.1791719999999,3795.975006,6883.815799
4363.993208,2854.5753430000004,2057.2035969999997,1377.664604,951.43323,2532.1539430000003,4535.849227000001,6035.9575030000005,1055.987597,1380.153493,2053.996102,3698.8931450000005
2001.19077,1290.4280299999998,877.1072029999999,540.497349,432.044328,1227.668219,1986.858197,2616.4557409999998,589.770412,536.606368,961.304567,1752.7765080000001
6970.2080240000005,4412.012063,2915.005886,1865.639907,1706.3798880000002,4876.742653,7968.016294,10471.255046,2576.86098,1918.1720149999999,3206.897872,5994.894363
1715.0703019999999,1135.558789,750.263166,436.62460899999996,309.24406300000004,875.380471,1501.629717,1931.7584570000001,388.502187,404.12600399999997,813.772723,1479.497701
8994.745559,5516.076322999999,3648.4709709999997,2384.873894,2335.464059,6847.899975000001,10809.199738,15247.54072,3534.17704,2468.222811,4127.25403,7839.348099000001
2143.810521,1354.5868689999998,903.7485499999999,540.4838510000001,417.390152,1222.069579,1979.275522,2572.88987,520.972394,522.52748,1011.643739,1872.33829
264.533232,184.771011,138.091207,89.099487,55.501644,81.11216999999999,137.50088999999997,180.574647,45.478167,75.63449099999998,141.752798,235.455093
3337.5340279999996,2035.025031,1332.453899,860.001555,913.7380139999999,2563.9988040000003,3667.2519199999997,5667.8084260000005,1344.284655,843.2756939999999,1536.1518400000002,2934.720161
477.61654500000003,315.700788,221.000336,135.288043,97.412989,206.47478700000002,335.61099099999996,450.162793,98.86166300000001,122.51525800000002,240.198361,422.25480600000003
3553.1759169999996,2233.572236,1453.253898,859.8943509999999,669.2415249999999,2003.368277,3346.1494129999996,4331.377875,882.7940359999999,845.5422289999999,1639.69016,3047.8064759999997
432.77539500000006,291.579381,208.454629,128.78031299999998,79.686432,168.50758400000004,297.05213,386.725149,64.69811000000001,116.570698,219.11948199999998,375.43217400000003
1439.014491,938.913287,646.378425,410.13533499999994,278.114477,759.378612,1255.06197,1646.020605,360.09523900000005,378.15328000000005,688.970177,1254.342431
4287.196795,2750.074766,1734.956578,1021.137404,988.889738,2827.6111039999996,4190.49866,6062.578554,1383.256177,987.472171,2001.159882,3721.1122569999998
469.400733,309.705381,213.494594,131.36823299999998,107.727574,251.661934,373.030021,569.089966,121.43324800000002,121.50033099999999,233.06240900000003,413.471236
3735.165715,2479.2272,1674.093717,1002.418079,735.152703,2037.4605809999998,3579.591119,4643.270606,854.6628829999999,968.482262,1749.348962,3109.0921880000005
1044.2289620000001,690.104335,470.282965,283.988398,214.121804,563.3256279999999,913.812671,1190.671597,260.218922,267.816548,508.5554620000001,909.4926409999999
4346.484654999999,2897.590537,2017.039385,1233.895547,860.8693149999999,2437.203482,4133.834675,5366.227472,946.766262,1188.305194,2062.763149,3687.6148279999998
853.208925,573.6492209999999,404.36358499999994,253.35884099999998,158.704409,387.18661099999997,687.7588030000001,899.866496,177.715107,219.711218,410.651636,731.515493
