@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.31742517,0.107542027,0.209570877,2.981330255,0.468565597,9.991736704,3.116041575,2.875040609,5.16156254,23.98904686,25.41158447,0.01382771,80575.28364
0.32649376,0.095292888,0.222570145,2.750135686,0.476152893,10.44200717,2.993175719,2.866006,7.098858865,23.89188037,26.39453632,0.013321971,88752.70386
0.310052557,0.114386227,0.241620289,3.230317658,0.473274947,10.6754319,3.182009624,2.882735517,6.058770177,22.80898694,28.7242217,0.013080968,78557.22818
0.423812114,0.12278628,0.258813133,1.918766759,0.396880213,10.58743383,2.980009789,4.134611132,7.271186941,18.0077831,28.32363032,0.012289906,73604.98081
0.424549311,0.137522873,0.252915077,1.831125682,0.382502528,8.810895093,3.116041575,3.846885322,5.16156254,23.98904686,25.41158447,0.01382771,71945.65317
0.419446282,0.117140263,0.255848747,1.935422739,0.373058423,9.396608032,3.153401645,3.937312756,2.514164141,23.97982752,27.12511552,0.012522493,61066.219
0.415071015,0.122732245,0.257777563,1.978150062,0.396458288,9.023583399,2.908144355,4.097388474,4.559331487,23.96841439,26.38191305,0.014901463,70299.57421
0.410744577,0.119384213,0.269434573,1.94702484,0.357779083,9.633473269,2.949158254,3.936787149,2.991690901,23.95875782,24.04648856,0.012645039,68703.37005
0.422245376,0.127349378,0.2617216,1.949618069,0.39532431,9.434251605,3.08153946,4.123073788,6.827167875,23.94479518,26.83626058,0.009932514,79054.11545
0.411516257,0.129496886,0.252960371,1.968222305,0.358271543,9.566335172,3.015588729,3.865799228,6.934532669,23.92996561,26.85834498,0.01037542,80400.37176
0.439986225,0.119540257,0.256619185,1.886973651,0.377109861,9.283117231,3.30351935,3.862513514,7.22453519,23.92385267,25.51071439,0.013863154,81340.87151
0.400390174,0.123121315,0.252408854,1.898229244,0.370154358,9.586533738,2.940726164,3.885619032,3.198643863,23.90833991,28.86763794,0.012909948,63723.81419
0.409965657,0.118914586,0.264500252,1.922526817,0.377345913,8.68179579,2.985198701,4.002127149,5.347553601,23.89518165,28.80766665,0.014953136,70254.77081
0.333826498,0.093682858,0.208937106,2.920762608,0.481671135,10.88269946,2.981631542,2.890541964,3.49487583,22.79362814,28.41176862,0.013219753,69750.8529
0.436441455,0.123735685,0.267955552,1.689126548,0.388696239,9.207951779,2.993175719,3.83479676,7.098858865,23.89188037,26.39453632,0.013321971,80154.92845
0.406194217,0.130191525,0.258485057,1.854064816,0.389210756,9.32905392,3.212039505,3.918874409,5.952059841,23.87164574,27.58742179,0.010483314,73569.01159
0.406896591,0.123167679,0.256264818,1.974655627,0.387740882,9.224237746,2.964007602,3.96418446,5.907169866,23.8641219,26.19036422,0.00956457,76390.7657
0.413914726,0.13766436,0.256051694,1.917338545,0.398186918,8.864727179,2.909060515,3.900142567,2.254088693,23.84949829,24.14621034,0.012894654,63000.58145
0.427719653,0.121051783,0.261263946,1.986518416,0.399425563,9.694225512,2.939591899,3.85196754,3.376713218,23.83330168,25.75105887,0.011904894,67584.59446
0.402749247,0.116789019,0.254933497,1.944390499,0.396739822,9.498622832,2.916916178,4.027791583,5.460351477,23.82922531,26.96941141,0.009019659,74559.01882
0.404742717,0.11999712,0.256462458,1.939853883,0.369979293,9.153202624,2.970651009,3.912702654,4.442204873,23.81459999,26.66191993,0.01071176,69617.51764
0.413498026,0.141422202,0.256353334,1.842190597,0.381629462,9.287142824,3.1315232,3.858633466,7.002856386,23.80453283,27.4596922,0.012272811,77862.50563
0.46373324,0.130757471,0.269740871,1.97383338,0.376060389,9.38181956,3.031222699,3.888515493,6.648025157,23.78507155,25.50717586,0.013071477,79884.99152
0.398437717,0.122891833,0.273576349,1.953827366,0.38577227,9.196595488,2.933295489,3.810877423,5.487129072,23.78377944,24.55072637,0.010223168,77128.12872
0.320519421,0.096961597,0.229345183,3.05193325,0.487050611,10.97211589,3.016099479,3.008496967,2.958691239,22.77695331,28.49658171,0.012455304,67408.87504
0.39893117,0.134446875,0.26923322,1.912764863,0.374405645,9.222084483,2.979158925,4.064507718,3.072553802,23.76636278,24.56193736,0.0092267,65859.66375
0.422530613,0.11716972,0.262620585,1.985124619,0.399013164,9.22819486,2.9926567,4.135682155,5.626043092,23.75467176,28.526039,0.00989028,72720.99367
0.401353717,0.124934476,0.26106467,1.826026204,0.392298527,9.490154013,2.919411499,4.10480351,5.440773839,23.74243424,26.64152016,0.014289448,73598.71304
0.411785759,0.116215791,0.293249209,1.986172879,0.382111749,9.603165242,3.095452058,3.918184681,4.165837821,23.72714972,27.71117165,0.01384624,67633.10223
0.419928363,0.133863961,0.257080409,1.975779213,0.376392777,9.542443254,2.92283424,4.158009318,5.013748926,23.71591642,25.07536597,0.010229289,74092.01029
