@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.542526707,0.152735654,0.224182687,1.64748464,0.38178747,6.460711959,3.798310904,3.21286242,5.16156254,23.98904686,25.41158447,0.01382771,64134.04021
0.639065297,0.117838976,0.336328825,1.454467429,0.415090526,7.645128809,3.398691008,3.117982792,7.098858865,23.89188037,26.39453632,0.013321971,75971.6002
0.444539011,0.159444833,0.422990786,3.154689992,0.401594327,8.835488487,3.886140748,3.292521472,6.058770177,22.80898694,28.7242217,0.013080968,70296.42581
0.685833379,0.111158648,0.219233264,1.537297424,0.443430998,10.17770484,3.34361083,3.372017742,3.49487583,22.79362814,28.41176862,0.013219753,62091.97592
0.579845799,0.124423539,0.382730924,1.889767527,0.473231426,10.80236878,3.499754051,4.302706423,2.958691239,22.77695331,28.49658171,0.012455304,60159.42994
0.487653645,0.125885664,0.366424563,3.11047028,0.46785332,7.555670369,3.000930164,4.667184401,2.652889242,22.76952324,25.53601896,0.011265554,59562.11206
0.303043463,0.123862978,0.402984885,2.008839669,0.337548361,7.091609897,3.874853752,4.185373888,3.754780322,22.75536567,23.8842622,0.012971624,59460.19619
0.425094788,0.158291303,0.2932058,2.321727507,0.403233585,8.859958163,2.958131398,4.571833462,3.033299403,22.75027325,26.5287516,0.01147254,60569.64328
0.333830446,0.105012367,0.216367632,2.800637445,0.487110072,7.618287795,3.495434532,3.676904963,6.04513071,22.72971489,25.09814817,0.012364047,73343.2323
0.313523456,0.145419331,0.396845964,1.576831921,0.455920745,8.683865644,3.666226768,4.28781049,4.425599472,22.7250583,28.98262068,0.013812112,59727.38196
0.481756481,0.108062914,0.409826769,3.107374775,0.369404775,9.169496083,3.801066176,4.3780822,4.192931018,22.71136095,28.07600727,0.010170078,64341.3773
0.343077374,0.127666645,0.253921305,1.796847092,0.361243975,9.985202847,3.290889282,4.217776564,5.667121628,22.69399762,28.61089967,0.010406321,70518.61449
0.360358686,0.138298431,0.264874263,1.757668079,0.418174394,8.296963756,3.907346472,3.736161308,5.952059841,23.87164574,27.58742179,0.010483314,68533.64912
0.516815529,0.12064281,0.296306255,2.013320242,0.353307676,10.24248128,3.880080838,4.468966454,7.638179319,22.6866682,24.01660429,0.011410157,82960.33395
0.699958305,0.101322522,0.412861757,1.46327426,0.463110873,10.96369343,2.970678262,3.628783373,6.425288315,22.67725717,26.76392315,0.010198065,79569.61375
0.455548463,0.102819021,0.240494046,2.888493336,0.481670388,6.429825078,3.917803625,3.704724426,7.607312859,22.6647862,24.61516844,0.014637816,76858.99662
0.366912328,0.094784312,0.374256137,1.934838602,0.412310344,9.69846474,3.573255721,4.068779397,7.444521148,22.64778747,26.30898294,0.009726676,80081.95925
0.316678676,0.09159101,0.395711183,2.837018472,0.389084068,6.613307229,3.540540881,3.384413731,6.370199682,22.63836716,28.31457822,0.010929534,69483.4502
0.490790014,0.119348922,0.20770495,1.723511172,0.488234296,7.067492214,3.120393572,3.273852195,5.640013554,22.62587122,23.24585137,0.009209933,73662.58293
0.352116504,0.125490973,0.29464661,2.60514198,0.36471657,10.90229713,3.423412849,3.554670845,3.938535177,22.61745609,23.19036886,0.010606778,73692.1185
