@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
5.276908505,1.493364616,3.201509627,1.600196187,0.3844755,7.872938501,3.74061201,3.587951037,8.864855474,23.99834283,24.98802328,0.057218606,1543.273861
5.43544933,1.385184018,2.937879591,1.572378569,0.381337517,7.568424442,3.303310793,3.504273653,10.39451287,23.90443202,24.71828682,0.066408808,1673.955676
5.179672468,1.447723456,3.00906966,1.684940484,0.353366071,8.48379323,3.627991112,3.96802299,9.982023806,23.00512137,24.26998294,0.063937006,1636.467751
5.816034659,1.264588569,3.04922126,1.659126584,0.369554863,8.63873071,3.607310355,3.565292295,7.866858698,22.99560268,23.31507875,0.066190433,1495.608286
5.472718946,1.269124351,2.772919421,1.620610414,0.399590086,7.94181246,3.52979517,3.838470859,8.833451686,22.98723082,24.1012131,0.06566424,1535.428383
5.823443058,1.265656196,2.901206146,1.760321438,0.350648556,8.541832191,3.222103584,3.881196141,8.738014994,22.97321338,22.98358263,0.061986789,1571.826121
5.764466941,1.489321391,2.870407837,1.744373753,0.394871656,7.731689412,3.626648669,3.755827784,8.154330751,22.96017677,23.85120615,0.068843903,1471.460329
5.386940656,1.494051825,3.03535954,1.739292026,0.386101972,7.948668925,3.505918098,3.450624719,10.13621651,22.95010143,23.94197154,0.067752284,1664.218631
5.852816199,1.55223489,2.996588418,1.689904819,0.354974762,7.932660329,3.689030054,3.530414993,8.904998236,22.94298625,23.01605805,0.064327183,1564.257056
5.219180578,1.422740309,2.871351173,1.705235967,0.381744269,7.824505631,3.544868529,3.412824127,10.35686048,22.93476309,23.61838736,0.060413126,1686.077147
5.35207016,1.492724577,2.749347977,1.808165594,0.38706494,8.207317063,3.317996945,3.730967999,9.19724216,22.92224387,23.0607368,0.05780708,1602.411956
4.919958501,1.383708865,3.153388859,1.75972686,0.359856188,7.681060125,3.849673582,3.792785571,9.158175466,22.91219165,24.92813506,0.055033986,1547.947399
5.278523375,1.439761476,2.820439644,1.649577479,0.397748815,8.682194151,3.75912006,3.719869433,10.24691458,23.89216523,24.40511838,0.06319812,1689.783388
5.478696136,1.33256436,3.025003969,1.571251192,0.375852762,8.41730537,3.475312897,3.955809089,8.88052962,22.90381409,24.01485002,0.067649758,1546.341089
5.116534509,1.321404853,3.084881186,1.571784112,0.342474265,8.059865739,3.548623097,3.661630516,8.945997413,22.89104827,23.78585166,0.069984879,1552.581519
5.350283894,1.504375008,3.069970654,1.624713848,0.381961698,7.705610776,3.290647558,3.890382184,9.279147496,22.88189398,24.54298363,0.067518462,1556.91027
5.589810995,1.451986759,2.946236173,1.697322532,0.346361345,7.684276612,3.347344325,3.561405568,8.251836141,22.87437092,23.35194753,0.062621621,1491.266193
4.964828904,1.369051155,2.837477157,1.808403615,0.352059407,7.45231053,3.214487603,3.520894417,7.882450073,22.86010178,23.4689495,0.059720229,1460.608156
5.312544322,1.223053893,3.310062804,1.808905121,0.393206155,7.513868183,3.737325204,3.637264961,8.010134156,22.85596401,23.48678085,0.065919537,1467.578746
5.815048188,1.348515031,2.960488135,1.629299536,0.36483728,7.875838807,3.77560057,3.966847084,9.707636745,22.84177592,23.43983615,0.053881905,1600.558385
4.912588845,1.352320638,3.156150499,1.618902848,0.35702181,8.282250951,3.818582043,3.858907635,7.842524539,22.83697625,22.84338199,0.056665033,1474.321469
5.829393415,1.271673148,3.166590083,1.674558646,0.360497692,8.703384739,3.375688221,3.655353275,8.927846874,22.82623297,23.13353298,0.062298178,1590.479844
5.480433938,1.581142786,3.062887016,1.757571318,0.362906784,8.605515114,3.659445196,3.641213962,9.387127284,22.81537237,23.73427361,0.052231817,1605.008889
5.517098122,1.522997568,2.998898809,1.758280649,0.372905571,8.750590274,3.569991775,3.840717641,8.206829163,23.88536073,24.80942256,0.061686034,1510.47973
