@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
5.276908505,1.493364616,3.201509627,1.547647164,0.365226686,7.604742801,3.74061201,3.587951037,8.864855474,23.99834283,24.98802328,0.057218606,1532.995722
5.43544933,1.385184018,2.937879591,1.520772516,0.362240541,7.310675575,3.303310793,3.504273653,10.39451287,23.90443202,24.71828682,0.066408808,1664.554096
5.179672468,1.447723456,3.00906966,1.629518773,0.335622551,8.194641199,3.627991112,3.96802299,9.982023806,23.00512137,24.26998294,0.063937006,1624.492954
5.816034659,1.264588569,3.04922126,1.604579921,0.351028015,8.344263306,3.607310355,3.565292295,7.866858698,22.99560268,23.31507875,0.066190433,1482.661185
5.472718946,1.269124351,2.772919421,1.567369383,0.37960992,7.67125393,3.52979517,3.838470859,8.833451686,22.98723082,24.1012131,0.06566424,1523.322754
5.823443058,1.265656196,2.901206146,1.70234444,0.333036529,8.250689043,3.222103584,3.881196141,8.738014994,22.97321338,22.98358263,0.061986789,1558.001968
5.764466941,1.489321391,2.870407837,1.686937355,0.375119802,7.468339483,3.626648669,3.755827784,8.154330751,22.96017677,23.85120615,0.068843903,1458.899408
5.386940656,1.494051825,3.03535954,1.68202789,0.366774458,7.677875173,3.505918098,3.450624719,10.13621651,22.95010143,23.94197154,0.067752284,1650.859272
5.852816199,1.55223489,2.996588418,1.634314825,0.337153402,7.662415777,3.689030054,3.530414993,8.904998236,22.94298625,23.01605805,0.064327183,1551.67395
5.219180578,1.422740309,2.871351173,1.649126273,0.362627611,7.557971496,3.544868529,3.412824127,10.35686048,22.93476309,23.61838736,0.060413126,1673.03116
5.35207016,1.492724577,2.749347977,1.74856676,0.36769083,7.927649982,3.317996945,3.730967999,9.19724216,22.92224387,23.0607368,0.05780708,1588.156862
4.919958501,1.383708865,3.153388859,1.701770017,0.341798631,7.419447114,3.849673582,3.792785571,9.158175466,22.91219165,24.92813506,0.055033986,1536.966227
