@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
2.396620582,0.816530402,1.670275379,2.981330255,0.382502528,9.991736704,3.330940993,2.814300314,9.534708608,23.99087238,24.3568023,0.066092368,1822.066708
2.474798085,0.73518635,1.766379807,2.750135686,0.388696239,10.44200717,3.199601631,2.805456577,10.61061193,23.90990031,24.08914058,0.064406569,1937.343255
2.333063572,0.861973476,1.907218754,3.230317658,0.386346895,10.6754319,3.401458563,2.821832654,10.03298482,23.00748912,23.74716238,0.063603227,1878.576908
3.313749409,1.261004664,2.074160997,1.918766759,0.396880213,10.58743383,3.185527706,3.02479446,10.70631662,19.00648592,20.42998922,0.060966352,1983.564691
3.320104561,1.379304794,2.02983399,1.831125682,0.382502528,8.810895093,3.438390703,2.966151051,9.534708608,23.99087238,24.3568023,0.066092368,1696.38277
3.276112932,1.215680442,2.051882068,1.935422739,0.373058423,9.396608032,3.479615608,3.035875362,8.064440639,23.9831896,24.87769868,0.061741643,1582.002503
3.238395112,1.26057089,2.066378139,1.978150062,0.396458288,9.023583399,3.208986875,3.159302166,9.20025157,23.97367866,24.27062648,0.069671542,1679.974111
3.201098229,1.233694075,2.153986722,1.94702484,0.357779083,9.633473269,3.254243591,3.035470091,8.329641486,23.96563152,23.99331158,0.062150129,1634.567992
3.300243052,1.297635587,2.096019662,1.949618069,0.39532431,9.434251605,3.400319404,3.179106894,10.45972472,23.95399599,24.73360806,0.053108379,1780.170358
3.207750643,1.31487502,2.030174397,1.968222305,0.358271543,9.566335172,3.327546184,2.980734668,10.51935119,23.94163801,24.05301868,0.054584735,1816.545474
3.453181398,1.234946739,2.057672317,1.886973651,0.377109861,9.283117231,3.645262731,2.978201209,10.68040795,23.93654389,24.96516313,0.066210512,1792.795545
3.111836136,1.2636942,2.026029459,1.898229244,0.370154358,9.586533738,3.244939215,2.99601678,8.444575571,23.92361659,24.53517479,0.063033159,1630.074075
3.1943834,1.229924074,2.116902696,1.922526817,0.377345913,8.68179579,3.294012359,3.08585067,9.638001221,23.91265138,23.95882412,0.069843786,1713.795197
2.538011343,0.724493127,1.665589874,2.920762608,0.393200927,10.88269946,3.187261303,2.829474176,8.60909194,22.99469011,23.25714065,0.064065843,1786.203027
3.422623045,1.268626143,2.142871103,1.689126548,0.388696239,9.207951779,3.302814587,2.956830133,10.61061193,23.90990031,24.08914058,0.064406569,1811.687552
3.161870991,1.320451338,2.071695332,1.854064816,0.389210756,9.32905392,3.544319454,3.021658426,9.973721815,23.89303812,24.74897608,0.054944378,1738.825554
3.167925935,1.264066397,2.055009065,1.974655627,0.387740882,9.224237746,3.270629078,3.05659486,9.948791569,23.88676825,24.49579614,0.051881901,1744.915897
3.2284271,1.380440605,2.05340732,1.917338545,0.398186918,8.864727179,3.20999781,3.00721519,7.920004274,23.87458191,24.22784488,0.06298218,1567.286444
3.347435088,1.247080732,2.092580145,1.986518416,0.399425563,9.694225512,3.243687612,2.970069708,8.543468759,23.86108474,24.61019375,0.05968298,1645.871244
3.132172968,1.212860776,2.045003479,1.944390499,0.396739822,9.498622832,3.218666128,3.1056393,9.700645025,23.85768775,24.09631926,0.050065531,1743.166054
3.149358057,1.238614274,2.05649443,1.939853883,0.369979293,9.153202624,3.277959734,3.016899678,9.135203744,23.8455,24.98551723,0.055705868,1663.623284
3.224834862,1.410607225,2.055674303,1.842190597,0.381629462,9.287142824,3.455473876,2.975209488,10.55729567,23.8371107,24.10030722,0.060909371,1802.802702
3.657897053,1.324994551,2.156288715,1.97383338,0.376060389,9.38181956,3.344797461,2.998250104,10.36023542,23.82089296,24.66318447,0.063571589,1775.486644
3.095004613,1.261852004,2.185114358,1.953827366,0.38577227,9.196595488,3.23673985,2.938387065,9.715516318,23.8198162,24.26014304,0.054077226,1737.173456
2.423295159,0.746268973,1.816468101,3.05193325,0.397592335,10.97211589,3.22410634,2.944937172,8.311314685,22.98079442,24.76066833,0.06151768,1718.904557
3.099258512,1.354611773,2.152473446,1.912764863,0.374405645,9.222084483,3.28734778,3.133949372,8.374549776,23.80530232,24.90532494,0.050755668,1594.525854
3.302701988,1.21591691,2.102776004,1.985124619,0.399013164,9.22819486,3.302241876,3.188828609,9.79266407,23.7955598,24.28105528,0.052967601,1727.651489
3.120142542,1.278249612,2.091082481,1.826026204,0.392298527,9.490154013,3.221419585,3.165019548,9.689772322,23.78536186,24.62315172,0.067631494,1719.162619
3.210073939,1.208259106,2.332966288,1.986172879,0.382111749,9.603165242,3.415671236,3.021126609,8.98171962,23.77262476,24.99105353,0.066154134,1663.919728
3.280268803,1.349932347,2.061138657,1.975779213,0.376392777,9.542443254,3.225196403,3.206044027,9.452618348,23.76326369,24.79223654,0.054097631,1693.588769
3.100085912,1.400339674,2.028039419,1.909286588,0.392188434,9.192357961,3.317573757,3.140526545,9.02757691,23.75069208,23.92597638,0.060026093,1666.389996
3.112132144,1.292822837,2.233418865,1.963432211,0.385613748,8.910189494,3.412687597,2.948560825,9.464573665,23.74050649,24.51022975,0.062816863,1693.925333
3.255177517,1.205649523,2.011992079,1.947303155,0.392907333,9.509774824,3.281690758,3.106168962,9.574855438,23.73558807,24.40995215,0.057377203,1719.092175
3.408039377,1.416087707,2.036484358,1.887984636,0.388420059,9.360027721,3.325617401,3.109012248,10.71568975,23.72131652,24.46684848,0.054130827,1799.357543
3.111264578,1.251585085,2.14467128,1.81266511,0.371739864,9.652948513,3.283518153,3.010287632,8.627247353,23.71348647,23.84165423,0.055868566,1655.38212
2.360604259,0.748836655,1.796582499,3.225287447,0.396814381,10.42036021,3.118899677,3.058830189,8.141483472,22.9746027,23.43759627,0.057551846,1718.160025
3.14399174,1.300126164,2.074671786,1.925210474,0.393910054,9.631996244,3.242552691,2.965486001,9.070294962,23.70037708,23.93400718,0.056225715,1699.225511
3.186557299,1.329840818,2.047762983,1.902168135,0.373197498,9.615630093,3.201991405,3.020404962,9.326746454,23.69744319,23.91051619,0.056095691,1713.461858
