@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
3.588627889,1.532330057,2.070777153,1.679503989,0.357333345,8.256229424,3.638790326,3.02082796,9.534708608,23.99087238,24.3568023,0.066092368,1657.236416
3.699203209,1.363959173,2.386913886,1.641871024,0.370464265,8.632768278,3.443591377,2.99771562,10.61061193,23.90990031,24.08914058,0.064406569,1777.175682
3.439696047,1.562605976,2.561119911,1.973366931,0.365142906,9.011196422,3.681691827,3.040232622,10.03298482,23.00748912,23.74716238,0.063603227,1727.623856
3.743591427,1.329474067,2.053485028,1.658020559,0.381638508,9.437901434,3.416686829,3.059597631,8.60909194,22.99469011,23.25714065,0.064065843,1633.709637
3.634839577,1.397208226,2.485944169,1.726742384,0.393388391,9.636488822,3.492956787,3.286310085,8.311314685,22.98079442,24.76066833,0.06151768,1574.421826
3.510861674,1.404493805,2.452789357,1.964745323,0.391267881,8.604328478,3.249300503,3.375095625,8.141483472,22.9746027,23.43759627,0.057551846,1548.163991
3.1110567,1.394405725,2.524888007,1.749958125,0.339890496,8.456798663,3.676178563,3.257728297,8.753433362,22.96280473,24.00411679,0.063238746,1575.368122
3.40411234,1.557445606,2.280250979,1.810962514,0.365789242,9.018975595,3.228394952,3.351868475,8.352749322,22.95856104,23.21528748,0.0582418,1579.723176
3.19891091,1.29705428,2.043312288,1.904336574,0.398860543,8.624235232,3.490846868,3.133867074,10.02540996,22.94142907,23.80159104,0.061213491,1719.031485
3.142271589,1.498578037,2.513334108,1.665728682,0.386563037,8.96299389,3.574272306,3.282681489,9.125981714,22.93754859,24.7241896,0.066040372,1619.840316
3.501700795,1.313229206,2.537519036,1.964141786,0.352451026,9.117381029,3.640136171,3.304671357,8.996766188,22.92613412,24.32585908,0.053900259,1616.86487
3.223157438,1.413321102,2.167797035,1.708625495,0.349233339,9.376702982,3.39093438,3.265621473,9.815477582,22.91166469,23.04563921,0.054687738,1728.643476
3.266117575,1.464964795,2.200811403,1.700986681,0.37168019,8.839993618,3.692050008,3.148301709,9.973721815,23.89303812,24.74897608,0.054944378,1702.087217
3.553782517,1.378205865,2.28846186,1.750831712,0.346104169,9.458494562,3.678731794,3.326810438,10.91013073,22.90555684,22.91075026,0.058033858,1825.635543
3.756037599,1.277264103,2.543040978,1.64358811,0.389398002,9.687775662,3.234523612,3.122144826,10.23653555,22.89771431,24.70544662,0.053993551,1750.617308
3.458831221,1.285320477,2.125391518,1.921466019,0.396715753,8.246410152,3.697157925,3.140643796,10.89298863,22.88732184,23.18089385,0.06879272,1799.037451
3.281658844,1.241576716,2.468922342,1.735529985,0.369368079,9.285545854,3.528859525,3.229326293,10.80258008,22.87315622,23.89497681,0.052422254,1790.232957
3.15139514,1.223851826,2.511175027,1.911429859,0.36021029,8.304741101,3.512879584,3.06261725,10.20594135,22.86530597,23.22943514,0.05643178,1738.940498
3.515665186,1.371647896,2.01181831,1.694327039,0.399303808,8.449131393,3.307653783,3.035684853,9.800422753,22.85489268,22.94062634,0.050699776,1720.476119
3.245996638,1.402530559,2.284077869,1.86622042,0.350602533,9.668257117,3.455667046,3.104091278,8.855484069,22.84788008,23.39187218,0.055355927,1651.88317
3.238751252,1.421802051,2.07760544,1.86367241,0.371286941,9.535107566,3.643985537,3.090391862,10.85786759,22.8397607,23.0236348,0.056396291,1841.362626
3.23256874,1.573793901,2.267888042,1.686403956,0.348526555,8.17680038,3.555490644,3.358228153,10.50085668,22.82105831,23.73791356,0.059904412,1712.041743
3.551789456,1.520710091,2.322872977,1.687109556,0.382363853,8.791847324,3.458378518,3.044711384,8.498871014,22.81541552,23.11308074,0.05304951,1597.200532
3.28110208,1.353379488,2.149716509,1.947226688,0.36825348,8.657948135,3.373278562,3.215416997,9.948791569,23.88676825,24.49579614,0.051881901,1707.144366
3.453385973,1.369272782,2.134052751,1.650216046,0.387760831,8.838177556,3.69003266,2.958032603,8.008817473,22.80042984,24.15175257,0.057243363,1540.03373
3.534087803,1.491928382,2.064180436,1.661681667,0.344534661,9.163935014,3.200703074,2.930489636,9.943067964,22.79240368,24.48091462,0.061474697,1715.040113
3.235167497,1.253127875,2.507805604,1.867906069,0.369239979,9.328528381,3.424093403,3.202133662,8.190547201,22.78365085,24.16938485,0.051957704,1566.998557
3.205554986,1.343456006,2.253909358,1.884117483,0.335932451,9.681335523,3.36481574,3.13457915,8.962618737,22.77840835,23.27277329,0.06203868,1665.964148
3.225984126,1.237698671,2.1008597,1.697037464,0.385269151,8.424434407,3.359155539,3.334414518,9.753802568,22.76711464,23.05159994,0.062631418,1693.860324
3.130716186,1.501959387,2.306410168,1.782657831,0.355952439,9.514253851,3.609390886,3.203627276,10.20157849,22.75879727,24.77018475,0.056649888,1729.543654
3.750323061,1.343005492,2.047471963,1.666360296,0.37599979,8.358073159,3.586424342,3.092919863,10.37220874,22.74887084,24.55081555,0.069719338,1715.197841
3.13703201,1.481900396,2.115293987,1.705287645,0.399748412,8.939019882,3.366092021,2.988798658,9.502671611,22.73131747,23.08750596,0.055205405,1707.320381
3.434082482,1.258980446,2.512941674,1.749156143,0.353599991,9.369591022,3.345710488,3.169823257,9.596920623,22.7291579,23.24618794,0.061188904,1708.418181
3.431702787,1.488816851,2.429498289,1.917762381,0.39961977,8.342040985,3.508138754,3.298329436,8.258397777,22.71966128,23.23391726,0.05791463,1548.374064
3.421951062,1.533191993,2.144736195,1.80336446,0.395015952,8.284458114,3.225310814,3.117263192,7.920004274,23.87458191,24.22784488,0.06298218,1531.390676
3.531069993,1.303925775,2.397760621,1.771767647,0.346436898,9.027926762,3.237323258,2.978398905,10.27949598,22.70678564,24.24706625,0.067360477,1743.96937
3.478714874,1.253604394,2.450763975,1.870919581,0.397486929,9.52450408,3.669278845,2.978610773,9.679401896,22.69361304,22.99957496,0.065897805,1751.393761
3.352456234,1.29840175,2.440104197,1.739592891,0.357984296,9.373785246,3.370139548,3.237782345,9.382840069,22.68084776,24.6050325,0.050589608,1658.449839
3.507438226,1.27383707,2.138378971,1.831300174,0.345778048,9.033684749,3.661381719,3.352928589,10.22806732,22.67428357,24.34592211,0.056899431,1710.88463
3.673144447,1.242631147,2.068381494,1.951926112,0.343388401,9.675897486,3.561619592,3.046802593,9.650490836,22.66291445,22.88066574,0.053690239,1740.403576
3.154504756,1.227569206,2.311499123,1.829430598,0.351994007,8.741190733,3.298477746,3.250775931,10.43836847,22.65613419,23.66096592,0.058484357,1746.012074
3.26471936,1.453972873,2.084127024,1.778098931,0.39855375,9.495996876,3.221149111,3.265164136,9.762218485,22.64272231,23.00867314,0.058664304,1736.622358
3.47426798,1.266222708,2.526915252,1.88508021,0.386118472,8.694743734,3.339361286,2.984922016,8.601449024,22.6397907,22.72953486,0.068654999,1639.726161
3.524502168,1.486502844,2.401639579,1.693959354,0.349979728,8.904265733,3.593924849,3.208705342,9.594017464,22.62584623,23.87026275,0.062394896,1661.453588
3.217770879,1.409431849,2.490577475,1.743216233,0.396091021,8.191122716,3.273338585,3.000659075,8.029714718,22.61800231,23.16312703,0.056154733,1545.178756
3.625538871,1.312225764,2.26175073,1.980258391,0.398418964,9.684313746,3.309313145,3.030442283,8.543468759,23.86108474,24.61019375,0.05968298,1635.573228
3.297379175,1.366479515,2.461748162,1.783762463,0.393191764,8.584177363,3.469800264,3.151468882,10.60355186,22.6043617,22.63801761,0.066913662,1804.37647
3.311408763,1.251501648,2.270238339,1.781812296,0.349391653,8.684006921,3.620105759,3.308861466,8.209638109,22.59830102,23.78668685,0.064207007,1536.241521
3.284995181,1.385997185,2.493156255,1.756998989,0.374190229,8.511811285,3.560665641,2.97466117,8.740420772,22.5897288,24.33793434,0.051323504,1590.308601
3.70345194,1.382623029,2.541418499,1.907846622,0.349573085,9.07201526,3.481249013,2.972088086,8.455437467,22.57024338,22.90750169,0.05972322,1612.908816
3.338065983,1.275085259,2.099399453,1.958916882,0.364270006,8.36115834,3.677194354,3.339343037,9.363031168,22.56311382,23.41308086,0.060546675,1635.090657
3.256660608,1.488528616,2.199150845,1.824922533,0.3372731,8.481345164,3.540797961,3.140176211,10.57927061,22.5555337,22.84591986,0.069551683,1773.233553
3.403275385,1.262973446,2.063708798,1.72763827,0.365363885,9.149427158,3.526963518,3.043859033,10.10663532,22.54302946,23.20386512,0.069427706,1754.344047
3.147333603,1.321820206,2.16285835,1.816228774,0.33433598,9.641154415,3.677972097,3.095442231,10.38542156,22.53161286,22.62097279,0.062188267,1810.921142
3.185529655,1.458728641,2.570881069,1.803718262,0.366603297,9.07795805,3.250577628,3.0417664,8.321534876,22.52518973,23.12451407,0.054724453,1594.311604
3.63224056,1.435598993,2.468060186,1.792015053,0.365033677,8.983986163,3.611813174,3.207123644,8.278061345,22.51421766,22.95989238,0.052378886,1570.37461
3.191378238,1.224698607,2.118466589,1.86668939,0.391065287,9.201168982,3.247179547,3.288556413,9.700645025,23.85768775,24.09631926,0.050065531,1716.940318
3.456942525,1.410643725,2.388635834,1.65379451,0.357564616,8.364361372,3.33031581,3.157790025,9.737829111,22.5062085,22.59971797,0.058393,1703.450181
3.370281162,1.422181742,2.313739685,1.763684033,0.37739496,8.322904867,3.293867207,3.274958312,10.90357787,22.49434465,23.57997246,0.061031436,1767.805158
3.594317407,1.550750539,2.170200812,1.846124589,0.37667707,9.442220144,3.56270599,3.320827477,9.704458707,22.48738035,23.50114665,0.057046718,1693.991463
3.549451217,1.362625637,2.398655483,1.768101662,0.338682052,9.478830995,3.438562563,3.078182523,9.377622828,22.47189597,24.41765826,0.058420987,1665.1561
3.320182336,1.391191056,2.448107635,1.712947733,0.386796508,8.309076619,3.441104697,3.370944068,10.79140478,22.46281167,22.92764827,0.051652446,1769.037159
3.164226411,1.230913388,2.243060058,1.696083035,0.357906811,8.31713778,3.479849313,3.18390182,8.474466872,22.45815632,22.68746194,0.050178171,1582.846241
3.487863001,1.297839528,2.447309269,1.673326677,0.365726174,9.625664801,3.385592581,3.081627683,7.999676545,22.4437865,22.67643581,0.05437883,1592.904368
3.195709588,1.344682436,2.365780399,1.861849421,0.380613083,8.384348015,3.223852536,3.228993688,9.693469795,22.43169665,24.21306633,0.051515738,1661.452252
3.358706709,1.263748297,2.188747999,1.938242058,0.389561947,9.606537615,3.622710418,3.012093658,8.69821638,22.42294008,24.86822413,0.053512522,1623.356554
3.354478054,1.407883347,2.157357905,1.924066772,0.350809933,8.569453859,3.230635809,3.156197342,10.43137633,22.41680203,23.64874883,0.056980722,1738.935173
3.23483203,1.290918448,2.154325501,1.855381862,0.340200903,8.554289191,3.389950164,3.138271178,9.135203744,23.8455,24.98551723,0.055705868,1627.229363
3.189205321,1.535341098,2.439276284,1.690756477,0.351361735,8.251831936,3.353844185,2.95646205,10.312483,22.40714481,24.85239879,0.057022829,1709.485248
3.566048719,1.261154605,2.316345308,1.678572277,0.366262828,8.450375519,3.653941196,3.304590743,9.2579054,22.39166725,22.64151431,0.057114819,1646.433638
3.46027083,1.467716877,2.518356477,1.664490915,0.342764604,9.697378382,3.240620816,3.032236237,8.200363145,22.38354088,22.49166731,0.06848249,1625.107756
3.410486406,1.236059681,2.293992486,1.671536094,0.359661481,8.735184821,3.60259253,3.102437301,10.81971237,22.37520722,23.19688382,0.058938956,1790.881142
3.409387678,1.466981596,2.215656065,1.657372605,0.343577251,8.550569705,3.42648122,3.025843518,8.28998063,22.36350713,22.80155057,0.053656572,1569.326766
3.379070621,1.451281864,2.356668954,1.809880112,0.360406651,9.171160148,3.35583981,3.094385567,8.55294653,22.35684413,24.02223615,0.061857848,1589.607635
3.617376043,1.396608826,2.121654895,1.791348077,0.377527955,9.694835699,3.287253927,2.983429912,8.818412856,22.34087158,24.97390293,0.062865336,1630.192548
