@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
5.031364859,1.331788057,2.96052073,1.716394444,0.393616791,8.365423838,3.41847272,3.471981665,8.864855474,23.99834283,24.98802328,0.057218606,1575.814082
5.105375725,1.274962387,2.821075366,1.692323485,0.392266375,8.07847315,3.231936596,3.439115363,10.39451287,23.90443202,24.71828682,0.066408808,1701.94676
4.990314257,1.304569073,2.851486098,1.764532487,0.376887758,8.670890018,3.35122561,3.84610997,9.982023806,23.00512137,24.26998294,0.063937006,1657.975702
5.441114991,1.227489031,2.869997353,1.75196311,0.386790511,8.734847898,3.341573033,3.462865942,7.866858698,22.99560268,23.31507875,0.066190433,1515.451338
5.124788072,1.229185109,2.755841207,1.730268434,0.399834272,8.4084982,3.309192165,3.601982896,8.833451686,22.98723082,24.1012131,0.06566424,1567.941457
5.458324903,1.227888076,2.806195398,1.796674413,0.374595751,8.69509576,3.206789844,3.638738639,8.738014994,22.97321338,22.98358263,0.061986789,1595.188159
5.353409426,1.329061523,2.793954776,1.790239626,0.397922909,8.260574702,3.350582446,3.549552999,8.154330751,22.96017677,23.85120615,0.068843903,1507.565988
5.081458984,1.332259425,2.86346397,1.788159088,0.394305067,8.412581585,3.30011023,3.418862849,10.13621651,22.95010143,23.94197154,0.067752284,1690.549725
5.554184854,1.3870025,2.845963597,1.766826115,0.378112314,8.402994482,3.383628091,3.449170369,8.904998236,22.94298625,23.01605805,0.064327183,1599.579199
5.006721815,1.292006327,2.79432711,1.77370919,0.392443288,8.33245302,3.31511022,3.404769128,10.35686048,22.93476309,23.61838736,0.060413126,1713.819666
5.065040116,1.331351167,2.746593574,1.815422705,0.39470936,8.548360749,3.236551215,3.536386598,9.19724216,22.92224387,23.0607368,0.05780708,1631.925644
4.886978728,1.274326929,2.926566172,1.796436783,0.381405719,8.214448987,3.648164019,3.570986509,9.158175466,22.91219165,24.92813506,0.055033986,1580.477247
5.032067682,1.300431427,2.774378296,1.746977654,0.399089543,8.752488119,3.433904863,3.530767136,10.24691458,23.89216523,24.40511838,0.06319812,1711.142235
5.127999045,1.25338679,2.85868552,1.691146548,0.389813614,8.642666685,3.288918636,3.768911797,8.88052962,22.90381409,24.01485002,0.067649758,1570.068843
4.964668251,1.249031403,2.887659123,1.69170557,0.364038555,8.474730587,3.316608832,3.503304957,8.945997413,22.89104827,23.78585166,0.069984879,1582.477248
5.064214215,1.339648763,2.880109472,1.732813028,0.392537614,8.237588047,3.22797897,3.648265216,9.279147496,22.88189398,24.54298363,0.067518462,1591.308174
5.194293665,1.306843666,2.824526599,1.770191929,0.370095858,8.217572885,3.245868696,3.461321009,8.251836141,22.87437092,23.35194753,0.062621621,1525.884718
4.904631145,1.268123625,2.781028904,1.815514842,0.375825298,7.742916046,3.204449582,3.445490289,7.882450073,22.86010178,23.4689495,0.059720229,1480.130603
5.047072172,1.211975753,3.115726844,1.815708958,0.397244592,7.976355136,3.415936342,3.492607611,8.010134156,22.85596401,23.48678085,0.065919537,1496.863504
5.438951712,1.259723582,2.830475142,1.735578342,0.384313838,8.36732115,3.449756448,3.833688535,9.707636745,22.84177592,23.43983615,0.053881905,1634.561381
