@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Annual_T[GJ]
5.031364859,1.331788057,2.96052073,1.659810012,0.373935951,8.080238934,3.41847272,3.471981665,8.864855474,23.99834283,24.98802328,0.057218606,1562.978772
5.105375725,1.274962387,2.821075366,1.6365326,0.372653057,7.803070657,3.231936596,3.439115363,10.39451287,23.90443202,24.71828682,0.066408808,1689.174748
4.990314257,1.304569073,2.851486098,1.706361086,0.35804337,8.375291494,3.35122561,3.84610997,9.982023806,23.00512137,24.26998294,0.063937006,1644.547871
5.441114991,1.227489031,2.869997353,1.694206084,0.367450985,8.437068992,3.341573033,3.462865942,7.866858698,22.99560268,23.31507875,0.066190433,1500.862152
5.124788072,1.229185109,2.755841207,1.673226617,0.379842558,8.121844853,3.309192165,3.601982896,8.833451686,22.98723082,24.1012131,0.06566424,1554.53899
5.458324903,1.227888076,2.806195398,1.737443388,0.355865964,8.398672041,3.206789844,3.638738639,8.738014994,22.97321338,22.98358263,0.061986789,1580.351585
5.353409426,1.329061523,2.793954776,1.731220737,0.378026763,7.978964201,3.350582446,3.549552999,8.154330751,22.96017677,23.85120615,0.068843903,1493.951837
5.081458984,1.332259425,2.86346397,1.729208788,0.374589814,8.125789031,3.30011023,3.418862849,10.13621651,22.95010143,23.94197154,0.067752284,1676.172765
5.554184854,1.3870025,2.845963597,1.7085791,0.359206699,8.116528761,3.383628091,3.449170369,8.904998236,22.94298625,23.01605805,0.064327183,1584.887709
5.006721815,1.292006327,2.79432711,1.715235261,0.372821124,8.048392122,3.31511022,3.404769128,10.35686048,22.93476309,23.61838736,0.060413126,1699.290539
5.065040116,1.331351167,2.746593574,1.755573605,0.374973892,8.25693936,3.236551215,3.536386598,9.19724216,22.92224387,23.0607368,0.05780708,1616.812521
4.886978728,1.274326929,2.926566172,1.737213592,0.362335433,7.934410953,3.648164019,3.570986509,9.158175466,22.91219165,24.92813506,0.055033986,1568.38547
5.032067682,1.300431427,2.774378296,1.689384984,0.379135066,8.454107842,3.433904863,3.530767136,10.24691458,23.89216523,24.40511838,0.06319812,1696.897615
5.127999045,1.25338679,2.85868552,1.635394464,0.370322933,8.348030321,3.288918636,3.768911797,8.88052962,22.90381409,24.01485002,0.067649758,1556.822224
4.964668251,1.249031403,2.887659123,1.635935056,0.345836627,8.185819317,3.316608832,3.503304957,8.945997413,22.89104827,23.78585166,0.069984879,1569.680404
5.064214215,1.339648763,2.880109472,1.675687324,0.372910733,7.956761181,3.22797897,3.648265216,9.279147496,22.88189398,24.54298363,0.067518462,1578.910614
5.194293665,1.306843666,2.824526599,1.711833953,0.351591065,7.937428355,3.245868696,3.461321009,8.251836141,22.87437092,23.35194753,0.062621621,1511.875323
4.904631145,1.268123625,2.781028904,1.755662704,0.357034033,7.478952999,3.204449582,3.445490289,7.882450073,22.86010178,23.4689495,0.059720229,1467.33457
5.047072172,1.211975753,3.115726844,1.755850421,0.377382362,7.704433938,3.415936342,3.492607611,8.010134156,22.85596401,23.48678085,0.065919537,1483.393945
5.438951712,1.259723582,2.830475142,1.678361474,0.365098146,8.082071565,3.449756448,3.833688535,9.707636745,22.84177592,23.43983615,0.053881905,1620.915264
4.884073364,1.261257868,2.928326696,1.67218242,0.360582902,8.29051614,3.509969629,3.618293546,7.842524539,22.83697625,22.84338199,0.056665033,1494.106044
5.473584055,1.230139145,2.935159582,1.701607613,0.362711567,8.462386766,3.255017469,3.500511394,8.927846874,22.82623297,23.13353298,0.062298178,1594.905645
5.128938073,1.452436689,2.876608955,1.736379189,0.364067565,8.423980493,3.367066565,3.494315563,9.387127284,22.81537237,23.73427361,0.052231817,1612.319026
5.149373278,1.354818644,2.846978665,1.736653999,0.369010372,8.480782862,3.325342714,3.603685221,8.206829163,23.88536073,24.80942256,0.061686034,1519.276813
4.873381026,1.258731903,2.890565163,1.697650571,0.366236117,8.075452211,3.437503968,3.437013085,9.122643261,22.8061606,24.15289748,0.066754154,1580.12686
4.920559481,1.2077144,2.906474915,1.748472917,0.372288605,8.44819235,3.285447877,3.41368259,7.836538098,22.79027049,23.92411946,0.05772277,1490.48311
5.265261349,1.263443103,3.195925097,1.734981231,0.366792954,8.231182187,3.223091156,3.577302945,10.11067572,22.78175749,23.44896565,0.054259852,1676.395186
5.276323565,1.219389867,2.807726315,1.678792756,0.375685627,8.045082503,3.266527817,3.503940115,9.876997705,22.77343473,23.64542777,0.063010638,1650.928738
5.258802498,1.269748928,2.753337696,1.660476721,0.376069024,8.238749763,3.263165276,3.416985045,8.538985599,22.76388831,24.65455117,0.057387241,1536.306362
5.126735816,1.317741435,2.786534537,1.695245671,0.371522392,8.446045842,3.432585995,3.409073246,9.912804985,22.75905449,24.89731742,0.055964266,1654.521637
4.87433431,1.209320879,2.779149804,1.654716473,0.328416683,8.050818236,3.334813849,3.556190302,9.85212885,22.74790884,23.5156602,0.062947052,1642.614639
5.10633452,1.234429999,2.861306365,1.722255654,0.37920771,8.446633418,3.250737684,3.643676567,9.641859847,22.73749718,24.25767904,0.054729836,1629.199779
5.671837799,1.471037556,2.931336608,1.707774703,0.349299269,8.381015062,3.31118999,3.449784331,9.204559127,22.7271871,23.74073681,0.069842492,1594.406764
5.317519623,1.219350535,2.778749845,1.724820996,0.363246341,8.141836781,3.387791286,3.429239262,8.285390049,22.71396079,24.55487731,0.059430528,1510.12256
4.936527688,1.236694846,2.870863179,1.698710322,0.35609066,8.262381378,3.289631603,3.716379061,9.723751525,23.87302898,24.96180502,0.059999479,1631.687865
5.027994262,1.353861135,3.014737637,1.602777262,0.37705519,8.187809303,3.319651347,3.5420314,10.70308944,22.70420652,24.4766895,0.067524995,1709.756482
5.088912681,1.254501799,2.770273892,1.728797203,0.368873393,8.124205719,3.521140422,3.57137602,10.21832759,22.69168215,22.91526128,0.055834573,1694.595504
5.652962541,1.279378308,2.774762117,1.701133841,0.363491335,7.800697129,3.455356833,3.431008283,9.739001316,22.68340044,23.05025298,0.061420381,1641.639126
4.979389279,1.250086925,2.939762684,1.71892253,0.37212726,8.358505273,3.206111013,3.528488859,8.510595893,22.67735934,23.63906863,0.055662648,1540.850598
5.177394073,1.213902906,2.802725067,1.653302696,0.365512195,8.457216869,3.406644949,3.453437251,10.64938782,22.66040306,23.02579554,0.057460922,1747.571324
5.289451325,1.255532799,2.801461033,1.735592571,0.358240722,8.268537862,3.312981609,3.558587426,10.63196255,22.65688182,22.96516825,0.050010848,1733.114808
5.390820788,1.288448894,2.908083959,1.656664962,0.374044334,7.994684164,3.259864557,3.607589445,8.643683627,22.64049017,22.94458338,0.060341243,1549.572735
5.409164112,1.345033193,2.82608151,1.703311835,0.343227321,8.416174792,3.284423072,3.668948591,9.868316801,22.63182805,23.16672073,0.054153964,1654.852426
5.714388413,1.238696236,2.796210835,1.702508553,0.366141358,8.399695909,3.374584548,3.680924505,7.879871316,22.62474419,24.28382035,0.062387553,1470.809283
5.243374862,1.320724966,2.97946566,1.749641232,0.33249125,8.425409587,3.492303852,3.757653779,10.43156642,22.61071498,24.12444184,0.05549815,1679.854049
5.026899075,1.281269757,2.958100711,1.673901747,0.373618093,8.063502446,3.324729497,3.562364911,10.62512598,23.86403376,24.57771997,0.059205352,1711.706049
5.085834714,1.318709156,2.994495887,1.718223925,0.366586725,8.421797455,3.3309723,3.735321255,10.84610409,22.60346079,22.92558223,0.055408818,1750.795417
5.455622611,1.237418544,2.902706381,1.704418001,0.360703356,8.418887089,3.202105423,3.517496765,8.09656009,22.59331534,23.08256599,0.065097324,1517.035441
