@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.31742517,0.107542027,0.209570877,2.981330255,0.468565597,9.991736704,3.116041575,2.875040609,9.534708608,23.98904686,25.41158447,5,99490.98073
0.32649376,0.095292888,0.222570145,2.750135686,0.476152893,10.44200717,2.993175719,2.866006,10.61061193,23.89188037,26.39453632,5,103799.4399
0.310052557,0.114386227,0.241620289,3.230317658,0.473274947,10.6754319,3.182009624,2.882735517,10.03298482,22.80898694,28.7242217,5,95127.82546
0.423812114,0.12278628,0.258813133,1.918766759,0.396880213,10.58743383,2.980009789,4.134611132,10.70631662,18.0077831,28.32363032,4,88450.55945
0.424549311,0.137522873,0.252915077,1.831125682,0.382502528,8.810895093,3.116041575,3.846885322,9.534708608,23.98904686,25.41158447,5,90364.02153
0.419446282,0.117140263,0.255848747,1.935422739,0.373058423,9.396608032,3.153401645,3.937312756,8.064440639,23.97982752,27.12511552,4,83773.52725
0.415071015,0.122732245,0.257777563,1.978150062,0.396458288,9.023583399,2.908144355,4.097388474,9.20025157,23.96841439,26.38191305,5,89284.64637
0.410744577,0.119384213,0.269434573,1.94702484,0.357779083,9.633473269,2.949158254,3.936787149,8.329641486,23.95875782,24.04648856,4,91179.74712
0.422245376,0.127349378,0.2617216,1.949618069,0.39532431,9.434251605,3.08153946,4.123073788,10.45972472,23.94479518,26.83626058,3,94221.97304
0.411516257,0.129496886,0.252960371,1.968222305,0.358271543,9.566335172,3.015588729,3.865799228,10.51935119,23.92996561,26.85834498,3,95295.29412
0.439986225,0.119540257,0.256619185,1.886973651,0.377109861,9.283117231,3.30351935,3.862513514,10.68040795,23.92385267,25.51071439,5,96092.64453
0.400390174,0.123121315,0.252408854,1.898229244,0.370154358,9.586533738,2.940726164,3.885619032,8.444575571,23.90833991,28.86763794,4,84740.57053
