@@ROOF@@,@@WALL@@,@@FLOOR@@,@@WIN@@,@@SHGC@@,@@LPD@@,@@HEATEFF@@,@@COP@@,@@EPD@@,@@HSP@@,@@CSP@@,@@OCC@@,c0: Total[kBtu]
0.3053095,0.091184677,0.214519844,2.969876085,0.469682855,10.4255216,3.184628112,3.035587133,2.578080822,18.38537719,23.35651244,0.011943997,63282.57233
0.299355268,0.11109265,0.250159932,2.854651474,0.477674127,10.19864859,2.931519282,3.106984473,7.169396642,21.18665805,25.1918194,0.014951552,84362.0044
0.302010448,0.08968015,0.210670808,3.012686269,0.483364272,10.25501663,2.958483595,3.053801945,5.556068176,22.52053757,24.4616232,0.012789425,82993.18049
0.408661363,0.119110945,0.258641155,1.824090558,0.383414576,10.4255216,3.184628112,4.061701094,2.578080822,18.38537719,23.35651244,0.011943997,58012.30817
0.406700299,0.127268507,0.286598655,1.96295505,0.394669224,10.28685606,2.951690101,4.062671156,2.468123817,20.6543562,23.29374245,0.009768863,61720.77645
0.421175078,0.117122414,0.277492906,1.712414291,0.389591727,10.95751311,3.019061583,3.875981397,4.032076412,21.17781961,23.58840145,0.0102092,70284.84869
0.41060597,0.120414203,0.266108101,1.899237257,0.362737978,9.98816002,3.059863536,4.051918342,5.608758496,20.59722592,28.70371676,0.012234819,68243.43787
0.431407379,0.124454368,0.254887589,1.928028985,0.395447613,10.66764581,2.997623351,4.008168716,3.606470598,18.37569626,24.07025136,0.013744471,62713.18822
0.407017731,0.121028023,0.25527327,1.895881226,0.399349137,10.68199446,2.987217618,3.91975864,3.957382751,21.89158169,27.09569703,0.010979873,66445.04218
0.404742717,0.11999712,0.256462458,1.939853883,0.369979293,10.3799205,2.970651009,3.912702654,4.442204873,23.81459999,26.66191993,0.01071176,72144.51846
0.400214741,0.119282938,0.250620277,1.98947457,0.372323055,9.417254382,3.029635718,4.025089234,2.225478581,20.19608688,26.94926618,0.013417079,53826.27402
0.421830897,0.138836666,0.325826576,1.825323531,0.393964626,10.4631714,2.986613997,3.943484973,4.213284478,21.04642678,23.96590527,0.010322175,68770.27571
0.317049466,0.099324898,0.218175247,3.184308167,0.476711004,10.59586952,3.277039026,2.935887745,7.022267563,19.66346377,28.24931657,0.014084055,77751.5035
0.40085325,0.141518754,0.29987762,1.753319887,0.389938063,10.19864859,2.931519282,4.157232745,7.169396642,21.18665805,25.1918194,0.014951552,78942.38451
0.42405663,0.128274308,0.262870546,1.955794213,0.38915184,10.59586952,3.277039026,3.928300504,7.022267563,19.66346377,28.24931657,0.014084055,73926.46711
0.416500586,0.139707629,0.253114998,1.871498677,0.387350694,10.41112976,3.018165387,3.887962428,4.218905871,19.76548271,24.9249637,0.010275352,65327.53832
0.414777079,0.132719809,0.277987425,1.980032379,0.376436616,10.35509824,2.901997584,3.937947278,6.83432942,19.87499066,24.0637438,0.012042502,78575.80953
0.425521849,0.116637819,0.253904821,1.980291495,0.368828593,10.19044643,2.994050445,3.926522893,4.676886716,19.48488364,23.44263454,0.013465939,69114.53828
0.400323873,0.121612888,0.26819508,1.81266511,0.371739864,10.94664264,2.975688327,3.904127304,3.527566886,23.65618376,25.95277673,0.01076057,69519.13225
0.41710713,0.118184658,0.272513314,1.946063093,0.399086736,10.92193531,3.157090216,3.824911682,5.422100611,22.43233565,28.86912171,0.013769341,71957.33441
0.433902895,0.130838675,0.251279655,1.977172059,0.396373345,9.712891891,3.016442684,3.979399956,6.642684688,18.811565,26.89542552,0.014111623,71026.48553
0.399655106,0.120015735,0.253200717,1.743364591,0.398126586,9.689065424,2.936688304,4.082353394,2.048549304,19.50161683,23.17347905,0.010248906,56542.35041
0.412023039,0.116576977,0.280484776,1.913181237,0.381416038,10.89780194,3.129475268,3.968833439,6.845591785,19.62021861,28.37185807,0.012802251,74301.31551
