"","Sobol.1.12."
"ROOF",0.529743226491611
"WALL",0.518950141381006
"FLOOR",0.513638598177235
"WIN",0.658278680843863
"SHGC",0.528867452937323
"LPD",0.747113372126784
"HEATEFF",0.529364981749087
"COP",0.637975693978535
"EPD",1.0098410358609
"HSP",0.523923460685386
"CSP",0.577118405881891
"OCC",0.525711432201973
